,template,article,tense,the_other,wh_word,conj_prep,quantity_word,comparative_superlative,if_clause,sentence_structure,active_passive_voice,grams_score
0,PRP|VBD|ATC|NN|.,0,0,0,0,0,0,0,0,1,0,0.00206894291389459
1,PRP|VBP|ATC|NN|.,0,0,0,0,0,0,0,0,1,0,0.0009256381484569220
2,PRP|VBD|PRP$|NN|.,0,0,0,0,0,0,0,0,1,0,0.0008556980403820470
3,PRP|VBD|IN|ATC|NN|.,0,0,0,0,1,0,0,0,1,0,0.0008436342385591620
4,PRP|VBD|IN|NNP|.,1,0,0,0,1,0,0,0,1,0,0.0007782055775582740
5,PRP|VBP|TO|VB|.,0,0,0,0,0,0,0,0,1,0,0.0006658216662773370
6,PRP|VBD|ATC|JJ|NN|.,0,0,0,0,0,0,0,0,1,0,0.0006347268185730960
7,PRP|VBD|IN|PRP|.,0,0,0,0,1,0,0,0,1,0,0.0005466491815745320
8,PRP|VBD|IN|NN|.,0,0,0,0,1,0,0,0,1,0,0.000519921778850206
9,PRP|VBP|PRP$|NN|.,0,0,0,0,0,0,0,0,1,0,0.0005070658068791080
10,PRP|VBP|DT|NN|.,0,0,0,0,0,0,0,0,1,0,0.0004443194984468400
11,PRP|MD|VB|PRP|.,0,0,0,0,0,0,0,0,1,0,0.000439229464481897
12,PRP|VBD|DT|NN|.,0,0,0,0,0,0,0,0,1,0,0.00043619126297691800
13,PRP|VBP|IN|PRP|.,0,0,0,0,1,0,0,0,1,0,0.00042676368189900800
14,PRP|VBZ|ATC|NN|.,0,0,0,0,0,0,0,0,1,0,0.0004197029761993130
15,PRP|VBP|IN|NNP|.,1,0,0,0,1,0,0,0,1,0,0.00040221829344812300
16,PRP|VBZ|RB|JJ|.,0,0,0,0,0,0,0,0,1,0,0.00038771216535097600
17,PRP|VBD|IN|PRP$|NN|.,0,0,0,0,1,0,0,0,1,0,0.0003706908957704670
18,PRP|VBP|IN|NN|.,0,0,0,0,1,0,0,0,1,0,0.00037049429167555700
19,PRP|VBD|ATC|NN|NN|.,0,0,0,0,0,0,0,0,1,0,0.00036611129131493000
20,PRP|VBP|IN|ATC|NN|.,0,0,0,0,1,0,0,0,1,0,0.0003573560588288790
21,PRP|VBD|TO|VB|.,0,0,0,0,0,0,0,0,1,0,0.00034154788379252900
22,PRP|MD|VB|ATC|NN|.,0,0,0,0,0,0,0,0,1,0,0.000316322114806818
23,PRP|VBP|ATC|JJ|NN|.,0,0,0,0,0,0,0,0,1,0,0.00028574788982251600
24,PRP|VBP|JJ|NN|.,0,0,0,0,0,0,0,0,1,0,0.00027177997668397400
25,PRP|MD|RB|VB|.,0,0,0,0,0,0,0,0,1,0,0.0002636946056139680
26,PRP|VBD|IN|ATC|JJ|NN|.,0,0,0,0,1,0,0,0,1,0,0.00025697800680039900
27,PRP|WLL|VB|PRP|.,0,0,0,0,0,0,0,0,1,0,0.000245685169465942
28,PRP|VBP|TO|VB|PRP|.,0,0,0,0,0,0,0,0,1,0,0.0002450946405949450
29,PRP|VBZ|ATC|JJ|NN|.,0,0,0,0,0,0,0,0,1,0,0.00024422424480218000
30,PRP|VBP|TO|VB|ATC|NN|.,0,0,0,0,0,0,0,0,1,0,0.00024006595363689300
31,PRP|VBD|CD|NNS|.,0,0,0,0,0,0,0,0,1,0,0.00023724062909345
32,PRP|MD|VB|RB|.,0,0,0,0,0,0,0,0,1,0,0.00023007501018693500
33,PRP|VBP|JJ|NNS|.,0,0,0,0,0,0,0,0,1,0,0.0002280579729431640
34,PRP|DO|RB|VB|.,0,0,0,0,0,0,0,0,1,0,0.00021532893852850800
35,PRP|BE|VBG|RB|.,0,0,0,0,0,0,0,0,1,0,0.00020334189428703300
36,PRP|VBD|JJ|NN|.,0,0,0,0,0,0,0,0,1,0,0.00020164619531744900
37,PRP|VBD|RB|JJ|.,0,0,0,0,0,0,0,0,1,0,0.00019194752501141400
38,PRP|VBZ|JJ|NN|.,0,0,0,0,0,0,0,0,1,0,0.00018806675900729200
39,PRP|VBD|PRP$|NNS|.,0,0,0,0,0,0,0,0,1,0,0.00018705483914916900
40,PRP|WLL|VB|ATC|NN|.,0,0,0,0,0,0,0,0,1,0,0.00018664464861148000
41,PRP|MD|VB|PRP$|NN|.,0,0,0,0,0,0,0,0,1,0,0.0001856816963394140
42,PRP|MD|VB|NN|.,0,0,0,0,0,0,0,0,1,0,0.0001834531947376260
43,PRP|HAV|TO|VB|.,0,0,0,0,0,0,0,0,1,0,0.00017798388538294900
44,PRP|VBP|IN|PRP$|NN|.,0,0,0,0,1,0,0,0,1,0,0.00017625707235237300
45,PRP|VBP|RB|JJ|.,0,0,0,0,0,0,0,0,1,0,0.0001678739986178950
46,PRP|VBD|RB|RB|.,0,0,0,0,0,0,0,0,1,0,0.00016772227690840800
47,PRP|WLL|VB|RB|.,0,0,0,0,0,0,0,0,1,0,0.00016625725851943800
48,PRP|VBP|PRP$|NNS|.,0,0,0,0,0,0,0,0,1,0,0.00016407300277677800
49,PRP|VBP|ATC|NN|NN|.,0,0,0,0,0,0,0,0,1,0,0.00016379696875444600
50,PRP|VBP|TO|VB|NN|.,0,0,0,0,0,0,0,0,1,0,0.00015164306481959300
51,PRP|BE|VBG|NN|.,0,0,0,0,0,0,0,0,1,0,0.0001509492531402290
52,PRP|VBD|DT|NNS|.,0,0,0,0,0,0,0,0,1,0,0.00015086891513882600
53,PRP|MD|VB|NNP|.,1,0,0,0,0,0,0,0,1,0,0.00015024941012609200
54,PRP|VBP|TO|VB|RB|.,0,0,0,0,0,0,0,0,1,0,0.0001501768066666240
55,PRP|VBD|IN|ATC|NN|NN|.,0,0,0,0,1,0,0,0,1,0,0.00014928590750480200
56,PRP|VBP|TO|VB|PRP$|NN|.,0,0,0,0,0,0,0,0,1,0,0.00014895206864605900
57,PRP|VBD|ATC|JJ|.,0,0,0,0,0,0,0,0,1,0,0.00014665393124730700
58,PRP|VBD|JJ|NNS|.,0,0,0,0,0,0,0,0,1,0,0.0001438215989144410
59,PRP|VBP|TO|VB|NNP|.,1,0,0,0,0,0,0,0,1,0,0.00013988278299673800
60,PRP|VBZ|PRP$|NN|.,0,0,0,0,0,0,0,0,1,0,0.0001387395380886850
61,PRP|BE|VBG|ATC|NN|.,0,0,0,0,0,0,0,0,1,0,0.00013590674876376000
62,PRP|HAV|RB|VBN|.,0,0,0,0,0,0,0,0,1,0,0.0001336429520024360
63,PRP|MD|RB|VB|PRP|.,0,0,0,0,0,0,0,0,1,0,0.0001299155513076440
64,PRP|VBP|IN|NNS|.,0,0,0,0,1,0,0,0,1,0,0.0001272402371762010
65,PRP|VBD|TO|VB|PRP|.,0,0,0,0,0,0,0,0,1,0,0.00012572669239217100
66,PRP|BE|VBG|NNP|.,1,0,0,0,0,0,0,0,1,0,0.00012373091109459600
67,PRP|VBD|TO|VB|ATC|NN|.,0,0,0,0,0,0,0,0,1,0,0.0001231471166953030
68,PRP|VBD|IN|NNS|.,0,0,0,0,1,0,0,0,1,0,0.00012258249169626700
69,PRP|MD|VB|JJ|.,0,0,0,0,0,0,0,0,1,0,0.00011627767394007500
70,PRP|VBP|DT|NNS|.,0,0,0,0,0,0,0,0,1,0,0.0001161591661421450
71,PRP|MD|VB|NNS|.,0,0,0,0,0,0,0,0,1,0,0.00011314639431506000
72,PRP|DID|RB|VB|.,0,0,0,0,0,0,0,0,1,0,0.00010996765206660500
73,PRP|VBP|IN|ATC|JJ|NN|.,0,0,0,0,1,0,0,0,1,0,0.00010885362817034500
74,PRP|VBP|NN|NN|.,0,0,0,0,0,0,0,0,1,0,0.00010859922127738700
75,VBG|IN|ATC|NN|.,0,0,0,0,1,0,0,0,1,0,0.00010837603435900100
76,PRP|DO|RB|VB|PRP|.,0,0,0,0,0,0,0,0,1,0,0.00010608703085255300
77,PRP|VBD|NN|NN|.,0,0,0,0,0,0,0,0,1,0,0.00010358656888496100
78,PRP|VBD|PRP$|JJ|NN|.,0,0,0,0,0,0,0,0,1,0,0.0001035457992819010
79,PRP|VBZ|IN|ATC|NN|.,0,0,0,0,1,0,0,0,1,0,0.0001035088480544450
80,PRP|WLL|VB|PRP$|NN|.,0,0,0,0,0,0,0,0,1,0,0.00010293181838493400
81,PRP|VBD|ATC|NNP|.,1,0,0,0,0,0,0,0,1,0,0.00010072092970602200
82,PRP|VBZ|IN|NNP|.,1,0,0,0,1,0,0,0,1,0,9.89873931042103E-05
83,PRP|BE|VBG|IN|ATC|NN|.,0,0,0,0,1,0,0,0,1,0,9.79917436972684E-05
84,PRP|VBD|IN|DT|NN|.,0,0,0,0,1,0,0,0,1,0,9.79312738634802E-05
85,PRP|VBZ|IN|PRP|.,0,0,0,0,1,0,0,0,1,0,9.77409548437531E-05
86,PRP|BE|VBG|IN|NNP|.,1,0,0,0,1,0,0,0,1,0,9.76729605593843E-05
87,PRP|BE|VBG|TO|VB|.,0,0,0,0,0,0,0,0,1,0,9.73691560148923E-05
88,PRP|VBD|ATC|NN|IN|NN|.,0,0,0,0,1,0,0,0,1,0,9.61447519203559E-05
89,PRP|MD|VB|ATC|JJ|NN|.,0,0,0,0,0,0,0,0,1,0,9.34867126657309E-05
90,PRP|VBD|IN|PRP$|NNS|.,0,0,0,0,1,0,0,0,1,0,9.3062875927355E-05
91,PRP|VBZ|IN|NN|.,0,0,0,0,1,0,0,0,1,0,9.25840152100574E-05
92,PRP|WLL|VB|NN|.,0,0,0,0,0,0,0,0,1,0,9.24270347983679E-05
93,PRP|VBD|ATC|NNS|.,0,0,0,0,0,0,0,0,1,0,9.20428199502409E-05
94,PRP|MD|VB|DT|NN|.,0,0,0,0,0,0,0,0,1,0,9.15014414596748E-05
95,PRP|BE|VBG|PRP|.,0,0,0,0,0,0,0,0,1,0,9.02491089911948E-05
96,PRP|VBZ|RB|RB|.,0,0,0,0,0,0,0,0,1,0,8.74728633131211E-05
97,PRP|VBP|TO|VB|NNS|.,0,0,0,0,0,0,0,0,1,0,8.73956635527048E-05
98,PRP|MD|VB|IN|NNP|.,1,0,0,0,1,0,0,0,1,0,8.59040051172001E-05
99,PRP|BE|VBG|NNS|.,0,0,0,0,0,0,0,0,1,0,8.58815719212792E-05
